t signal freq component
0 0 0 6.00473
0.025 0.309017 0.078125 6.01353
0.05 0.587785 0.15625 6.04009
0.075 0.809017 0.234375 6.08491
0.1 0.951057 0.3125 6.14883
0.125 1 0.390625 6.2331
0.15 0.951057 0.46875 6.33942
0.175 0.809017 0.546875 6.47004
0.2 0.587785 0.625 6.6279
0.225 0.309017 0.703125 6.81678
0.25 1.22465e-16 0.78125 7.04155
0.275 -0.309017 0.859375 7.30859
0.3 -0.587785 0.9375 7.62623
0.325 -0.809017 1.01562 8.00556
0.35 -0.951057 1.09375 8.46161
0.375 -1 1.17188 9.01519
0.4 -0.951057 1.25 9.69585
0.425 -0.809017 1.32812 10.547
0.45 -0.587785 1.40625 11.635
0.475 -0.309017 1.48438 13.0665
0.5 -2.44929e-16 1.5625 15.0245
0.525 0.309017 1.64062 17.851
0.55 0.587785 1.71875 22.2686
0.575 0.809017 1.79688 30.1113
0.6 0.951057 1.875 47.7985
0.625 1 1.95312 124.546
0.65 0.951057 2.03125 182.59
0.675 0.809017 2.10938 50.9997
0.7 0.587785 2.1875 29.0895
0.725 0.309017 2.26562 20.0822
0.75 3.67394e-16 2.34375 15.1796
0.775 -0.309017 2.42188 12.1009
0.8 -0.587785 2.5 9.99086
0.825 -0.809017 2.57812 8.45643
0.85 -0.951057 2.65625 7.29181
0.875 -1 2.73438 6.37878
0.9 -0.951057 2.8125 5.6446
0.925 -0.809017 2.89062 5.04207
0.95 -0.587785 2.96875 4.5392
0.975 -0.309017 3.04688 4.11358
1 -4.89859e-16 3.125 3.74903
1.025 0.309017 3.20312 3.43356
1.05 0.587785 3.28125 3.15813
1.075 0.809017 3.35938 2.91576
1.1 0.951057 3.4375 2.70102
1.125 1 3.51562 2.50957
1.15 0.951057 3.59375 2.33794
1.175 0.809017 3.67188 2.18332
1.2 0.587785 3.75 2.04339
1.225 0.309017 3.82812 1.91623
1.25 6.12323e-16 3.90625 1.80025
1.275 -0.309017 3.98438 1.69409
1.3 -0.587785 4.0625 1.59661
1.325 -0.809017 4.14062 1.50684
1.35 -0.951057 4.21875 1.42394
1.375 -1 4.29688 1.34719
1.4 -0.951057 4.375 1.27597
1.425 -0.809017 4.45312 1.20974
